project_id,project_name,stream,industry,region,status,owner,budget_bn_rub,actual_effect_bn_rub,roi,risk_score,baseline_kpi,target_kpi,actual_kpi,decision
AI-014,Personal learning assistant,Regional AI Development,Education,Chelyabinsk Oblast,Pilot,University center,2.58,4.94,1.91,18.5,25.0,34.5,27.0,Scale
AI-015,Teacher workload copilot,Talent & Competences,Education,Krasnodar Krai,Scale,Municipal operator,3.98,4.02,1.01,44.2,36.0,43.5,41.2,Improve
AI-016,Route optimization,Public Administration Efficiency,Transport & Logistics,Samara Oblast,Scale,University center,2.04,4.21,2.07,50.7,69.7,102.6,92.7,Scale
AI-017,Proactive service engine,Infrastructure,Public Administration,Murmansk Oblast,Pilot,Regional government,1.51,0.46,0.3,34.7,63.6,68.2,66.0,Stop
AI-018,Route optimization,Talent & Competences,Transport & Logistics,Irkutsk Oblast,Scale,Federal ministry,3.94,5.13,1.3,72.8,19.6,21.2,20.7,Improve
AI-019,Traffic risk prediction,Public Administration Efficiency,Transport & Logistics,Kaliningrad Oblast,Verification,Federal ministry,3.3,8.15,2.47,47.6,32.2,45.6,42.3,Scale
AI-020,Energy loss detection,Talent & Competences,Energy,Chelyabinsk Oblast,Pilot,University center,4.56,5.01,1.1,59.3,42.5,46.4,45.7,Improve
AI-021,Production planning assistant,Social Services & Quality of Life,Industry,Tomsk Oblast,Scale,State corporation,1.02,3.4,3.34,48.5,26.7,34.5,33.0,Scale
AI-022,Teacher workload copilot,Regional AI Development,Education,Moscow Oblast,Pilot,Federal ministry,4.8,13.73,2.86,64.4,72.3,103.6,82.8,Improve
AI-023,Proactive service engine,Public Administration Efficiency,Public Administration,Irkutsk Oblast,Scale,State corporation,3.26,3.03,0.93,89.1,95.0,101.4,99.3,Stop
AI-024,Crop yield forecast,Data,Agriculture,Novosibirsk Oblast,Verification,University center,6.03,4.8,0.8,57.6,92.4,98.4,96.5,Stop
AI-025,AI quality control,Data,Industry,Yakutia,Idea,State corporation,2.04,6.63,3.25,87.8,95.0,120.0,114.9,Stop
AI-026,AI document check,Economy & Productivity,Public Administration,Nizhny Novgorod Oblast,Scale,Federal ministry,5.51,6.91,1.25,77.2,13.3,17.6,14.7,Stop
AI-027,AI diagnostic triage,Talent & Competences,Healthcare,Murmansk Oblast,Closed,University center,0.92,0.42,0.45,67.2,40.6,55.9,43.6,Stop
AI-028,Traffic risk prediction,Talent & Competences,Transport & Logistics,Novosibirsk Oblast,Pilot,University center,2.15,4.26,1.98,74.3,38.7,51.5,49.1,Improve
AI-029,Energy loss detection,"Safety, Trust & Regulation",Energy,Krasnodar Krai,Scale,State corporation,4.06,3.93,0.97,16.8,88.3,93.6,92.5,Stop
AI-030,Outage prediction,Data,Energy,Tomsk Oblast,Scale,Municipal operator,3.51,11.58,3.3,74.9,99.8,120.6,114.9,Improve
AI-031,AI diagnostic triage,Technological Sovereignty,Healthcare,Nizhny Novgorod Oblast,Pilot,University center,2.7,4.82,1.78,62.1,88.6,132.3,120.4,Improve
AI-032,Crop yield forecast,Technological Sovereignty,Agriculture,Khabarovsk Krai,Idea,Federal ministry,2.8,4.46,1.59,70.3,31.5,34.6,32.8,Improve
AI-033,Satellite field monitoring,Economy & Productivity,Agriculture,Tatarstan,Idea,Regional government,1.97,2.32,1.18,32.5,13.8,14.6,14.5,Improve
AI-034,AI document check,Talent & Competences,Public Administration,Tomsk Oblast,Verification,University center,2.87,4.21,1.47,66.0,29.6,43.8,40.1,Improve
AI-035,Repair prioritization,Talent & Competences,Housing & Utilities,Nizhny Novgorod Oblast,Pilot,Federal ministry,0.72,1.13,1.58,80.9,95.0,119.8,110.1,Stop
AI-036,Outage prediction,Infrastructure,Energy,Krasnoyarsk Krai,Verification,Federal ministry,1.21,4.2,3.47,32.4,94.8,127.3,114.5,Scale
AI-037,Patient routing model,Infrastructure,Healthcare,Saint Petersburg,Pilot,Federal ministry,3.41,3.27,0.96,28.2,29.8,33.8,32.8,Stop
AI-038,Smart irrigation,Technological Sovereignty,Agriculture,Krasnodar Krai,Verification,Municipal operator,2.37,0.93,0.39,87.7,89.5,131.4,127.1,Stop
AI-039,Route optimization,Talent & Competences,Transport & Logistics,Samara Oblast,Scale,Federal ministry,1.25,1.89,1.51,71.9,72.6,81.3,79.2,Improve
AI-040,Utility accident forecast,Social Services & Quality of Life,Housing & Utilities,Tyumen Oblast,Scale,University center,1.58,1.48,0.94,55.3,63.4,83.1,67.7,Stop
AI-041,Predictive maintenance,Technological Sovereignty,Industry,Tatarstan,Pilot,Municipal operator,5.72,6.16,1.08,24.7,90.0,133.2,124.4,Improve
AI-042,Crop yield forecast,Economy & Productivity,Agriculture,Chelyabinsk Oblast,Pilot,Municipal operator,5.29,12.5,2.36,56.3,17.8,22.0,19.6,Scale
AI-043,Citizen request classifier,Regional AI Development,Public Administration,Voronezh Oblast,Scale,University center,1.8,4.66,2.59,52.2,17.3,19.9,19.0,Scale
AI-044,Repair prioritization,Technological Sovereignty,Housing & Utilities,Novosibirsk Oblast,Pilot,Federal ministry,0.63,1.91,3.01,52.1,53.3,70.1,66.2,Scale
AI-045,Predictive maintenance,Data,Industry,Murmansk Oblast,Idea,Municipal operator,2.36,5.75,2.44,57.4,34.0,49.2,45.4,Scale
AI-046,Route optimization,"Safety, Trust & Regulation",Transport & Logistics,Saint Petersburg,Scale,Federal ministry,4.33,13.02,3.01,80.0,73.8,105.2,94.9,Stop
AI-047,Medical document automation,Technological Sovereignty,Healthcare,Tomsk Oblast,Idea,University center,4.47,10.02,2.24,71.5,24.3,35.1,33.0,Improve
AI-048,Smart irrigation,Economy & Productivity,Agriculture,Khabarovsk Krai,Idea,University center,0.34,0.98,2.93,24.7,40.2,55.6,44.3,Scale
AI-049,Dropout risk prediction,Technological Sovereignty,Education,Samara Oblast,Scale,Regional government,5.34,15.74,2.95,53.1,10.6,12.5,11.7,Scale
AI-050,Proactive service engine,Public Administration Efficiency,Public Administration,Chelyabinsk Oblast,Scale,Municipal operator,6.38,14.58,2.28,34.5,67.1,86.7,81.5,Scale
AI-051,Personal learning assistant,Social Services & Quality of Life,Education,Dagestan,Verification,University center,0.83,2.25,2.71,55.6,96.7,116.4,109.0,Scale
AI-052,AI diagnostic triage,"Safety, Trust & Regulation",Healthcare,Tatarstan,Verification,Regional government,6.07,3.27,0.54,85.3,71.9,77.7,74.1,Stop
AI-053,Teacher workload copilot,Technological Sovereignty,Education,Tatarstan,Pilot,Municipal operator,4.65,1.96,0.42,58.7,41.1,54.7,43.6,Stop
AI-054,AI document check,"Safety, Trust & Regulation",Public Administration,Yakutia,Scale,University center,5.68,19.4,3.41,87.7,77.5,85.9,83.5,Stop
AI-055,AI document check,Social Services & Quality of Life,Public Administration,Tomsk Oblast,Pilot,Federal ministry,0.31,0.08,0.27,39.3,54.0,75.4,68.2,Stop
AI-056,Traffic risk prediction,Regional AI Development,Transport & Logistics,Samara Oblast,Pilot,State corporation,2.98,3.29,1.1,89.8,48.4,60.6,51.7,Stop
AI-057,Smart irrigation,Regional AI Development,Agriculture,Tomsk Oblast,Verification,Federal ministry,5.2,12.94,2.49,31.6,17.4,23.6,21.4,Scale
AI-058,Medical document automation,Infrastructure,Healthcare,Kaliningrad Oblast,Idea,State corporation,1.89,6.29,3.34,26.3,48.9,72.1,59.7,Scale
AI-059,Route optimization,Regional AI Development,Transport & Logistics,Kaliningrad Oblast,Scale,University center,4.2,6.36,1.51,35.6,98.6,121.6,117.5,Scale
AI-060,Grid load forecasting,Economy & Productivity,Energy,Tyumen Oblast,Idea,Regional government,1.61,1.45,0.9,17.3,68.7,83.5,80.5,Stop
AI-061,Predictive maintenance,"Safety, Trust & Regulation",Industry,Krasnoyarsk Krai,Verification,Federal ministry,3.15,10.71,3.4,28.9,88.2,123.4,113.8,Scale
AI-062,Citizen request classifier,Economy & Productivity,Public Administration,Krasnoyarsk Krai,Pilot,Regional government,5.51,14.95,2.71,62.0,21.8,23.2,23.0,Improve
AI-063,Medical document automation,"Safety, Trust & Regulation",Healthcare,Krasnoyarsk Krai,Closed,Regional government,4.07,11.5,2.83,51.1,20.6,22.7,22.0,Stop
AI-064,Satellite field monitoring,Public Administration Efficiency,Agriculture,Sverdlovsk Oblast,Idea,State corporation,2.88,2.48,0.86,51.9,15.8,20.7,17.5,Stop
AI-065,Outage prediction,Technological Sovereignty,Energy,Tomsk Oblast,Pilot,Federal ministry,5.21,6.38,1.22,49.1,11.0,12.0,11.5,Improve
AI-066,Grid load forecasting,Talent & Competences,Energy,Saint Petersburg,Pilot,Municipal operator,3.2,6.97,2.18,36.9,72.5,104.3,95.8,Scale
AI-067,Personal learning assistant,Technological Sovereignty,Education,Rostov Oblast,Idea,Regional government,0.4,0.72,1.79,22.9,31.8,47.5,35.8,Scale
AI-068,Grid load forecasting,Regional AI Development,Energy,Perm Krai,Closed,State corporation,3.32,7.43,2.24,67.7,60.4,63.7,61.7,Stop
AI-069,Teacher workload copilot,"Safety, Trust & Regulation",Education,Kaliningrad Oblast,Scale,University center,3.44,1.68,0.49,41.3,13.0,14.1,13.5,Stop
AI-070,Teacher workload copilot,Social Services & Quality of Life,Education,Moscow,Pilot,State corporation,0.99,2.06,2.07,66.7,82.1,93.5,85.2,Improve
AI-071,AI quality control,Infrastructure,Industry,Moscow Oblast,Scale,State corporation,0.81,1.87,2.3,68.0,12.8,18.9,14.0,Improve
AI-072,Grid load forecasting,"Safety, Trust & Regulation",Energy,Yakutia,Pilot,University center,3.59,9.11,2.54,80.3,74.3,104.8,86.6,Stop
AI-073,Smart irrigation,Economy & Productivity,Agriculture,Samara Oblast,Verification,University center,5.32,2.47,0.46,82.1,59.3,84.1,71.4,Stop
AI-074,Crop yield forecast,Infrastructure,Agriculture,Krasnoyarsk Krai,Closed,State corporation,4.24,8.21,1.94,69.9,17.3,18.7,17.8,Stop
AI-075,Dropout risk prediction,Social Services & Quality of Life,Education,Tomsk Oblast,Scale,University center,1.16,3.58,3.08,31.4,97.8,117.6,103.5,Scale
AI-076,Citizen request classifier,Infrastructure,Public Administration,Tomsk Oblast,Pilot,State corporation,5.16,12.26,2.37,52.4,60.0,82.4,67.2,Scale
AI-077,Traffic risk prediction,Infrastructure,Transport & Logistics,Krasnodar Krai,Closed,Regional government,6.48,22.13,3.42,63.8,28.0,37.9,30.0,Stop
AI-078,AI document check,"Safety, Trust & Regulation",Public Administration,Chelyabinsk Oblast,Pilot,Regional government,0.34,0.36,1.05,49.7,88.1,121.4,111.7,Improve
AI-079,Outage prediction,Data,Energy,Khabarovsk Krai,Verification,Regional government,2.85,3.83,1.34,42.8,98.9,105.6,104.3,Improve
AI-080,Resource leakage detection,Public Administration Efficiency,Housing & Utilities,Murmansk Oblast,Idea,University center,3.82,6.3,1.65,69.4,53.8,77.6,73.5,Improve
AI-081,Dropout risk prediction,Technological Sovereignty,Education,Tatarstan,Pilot,Regional government,2.83,3.15,1.11,59.4,92.1,105.5,100.3,Improve
AI-082,Route optimization,Economy & Productivity,Transport & Logistics,Moscow,Closed,University center,4.16,10.9,2.62,24.9,74.4,108.6,84.2,Stop
AI-083,Patient routing model,Infrastructure,Healthcare,Voronezh Oblast,Verification,Municipal operator,1.66,5.65,3.41,28.6,86.9,110.5,94.8,Scale
AI-084,Utility accident forecast,Technological Sovereignty,Housing & Utilities,Chelyabinsk Oblast,Scale,Federal ministry,5.68,9.48,1.67,53.6,42.3,55.7,46.0,Scale
AI-085,AI diagnostic triage,Infrastructure,Healthcare,Dagestan,Pilot,University center,2.63,8.95,3.4,34.4,69.1,82.7,79.0,Scale
AI-086,Utility accident forecast,"Safety, Trust & Regulation",Housing & Utilities,Saint Petersburg,Scale,Federal ministry,0.98,3.34,3.4,49.0,31.2,33.8,32.0,Scale
AI-087,Resource leakage detection,Talent & Competences,Housing & Utilities,Novosibirsk Oblast,Verification,University center,3.45,4.53,1.31,77.2,48.8,56.7,53.6,Stop
AI-088,Dropout risk prediction,Talent & Competences,Education,Dagestan,Scale,University center,4.64,3.48,0.75,27.6,13.3,18.4,16.6,Stop
AI-089,Grid load forecasting,Talent & Competences,Energy,Tyumen Oblast,Scale,Municipal operator,3.16,9.45,2.99,75.4,62.7,90.3,71.1,Stop
AI-090,Resource leakage detection,Technological Sovereignty,Housing & Utilities,Samara Oblast,Pilot,University center,0.86,0.94,1.09,19.3,57.8,85.1,62.7,Improve
AI-091,Repair prioritization,Technological Sovereignty,Housing & Utilities,Kaliningrad Oblast,Verification,State corporation,0.93,1.57,1.69,85.0,38.5,49.2,40.4,Stop
AI-092,Satellite field monitoring,Data,Agriculture,Samara Oblast,Scale,Federal ministry,1.09,3.77,3.46,87.4,10.4,15.4,13.6,Stop
AI-093,Fleet maintenance AI,Technological Sovereignty,Transport & Logistics,Novosibirsk Oblast,Scale,Regional government,5.66,9.63,1.7,53.7,54.0,72.9,58.8,Scale
AI-094,Medical document automation,Infrastructure,Healthcare,Bashkortostan,Verification,Municipal operator,0.34,0.41,1.22,67.9,28.2,38.1,36.9,Improve
AI-095,AI quality control,Infrastructure,Industry,Krasnodar Krai,Scale,University center,0.75,1.81,2.42,48.3,88.1,99.6,95.8,Scale
AI-096,AI quality control,Infrastructure,Industry,Dagestan,Idea,State corporation,5.47,18.15,3.32,66.2,54.7,72.7,69.1,Improve
AI-097,Citizen request classifier,Infrastructure,Public Administration,Dagestan,Verification,University center,3.77,1.13,0.3,84.8,72.1,97.6,80.0,Stop
AI-098,Satellite field monitoring,Technological Sovereignty,Agriculture,Primorsky Krai,Verification,Federal ministry,4.33,6.5,1.5,63.8,19.6,26.4,25.7,Improve
AI-099,Energy loss detection,Infrastructure,Energy,Perm Krai,Pilot,Municipal operator,0.46,1.56,3.42,45.5,88.4,123.9,108.8,Scale
AI-100,Route optimization,"Safety, Trust & Regulation",Transport & Logistics,Yakutia,Scale,University center,4.84,15.0,3.1,45.3,39.4,53.3,49.9,Scale
AI-101,Predictive maintenance,Infrastructure,Industry,Tatarstan,Scale,Regional government,4.99,14.14,2.83,47.7,83.6,92.3,88.5,Scale
AI-102,AI quality control,Infrastructure,Industry,Samara Oblast,Pilot,State corporation,0.19,0.24,1.27,42.5,45.7,62.2,53.0,Improve
AI-103,Teacher workload copilot,Infrastructure,Education,Dagestan,Scale,Municipal operator,3.0,2.95,0.98,43.0,30.5,33.0,32.0,Stop
AI-104,AI document check,Talent & Competences,Public Administration,Tatarstan,Scale,Federal ministry,4.39,9.86,2.24,49.8,44.2,63.6,54.6,Scale
AI-105,Dropout risk prediction,Social Services & Quality of Life,Education,Nizhny Novgorod Oblast,Idea,Federal ministry,3.19,0.91,0.28,40.6,44.2,54.4,50.2,Stop
AI-106,Smart irrigation,Economy & Productivity,Agriculture,Krasnodar Krai,Pilot,Regional government,3.54,7.81,2.21,72.4,83.2,114.2,110.1,Improve
AI-107,Resource leakage detection,Social Services & Quality of Life,Housing & Utilities,Tomsk Oblast,Closed,Municipal operator,0.27,0.22,0.85,15.6,68.3,99.3,78.6,Stop
AI-108,AI document check,Data,Public Administration,Dagestan,Verification,Federal ministry,6.04,2.41,0.4,85.1,41.6,45.6,43.7,Stop
AI-109,Traffic risk prediction,Social Services & Quality of Life,Transport & Logistics,Rostov Oblast,Idea,State corporation,1.78,2.03,1.14,38.0,82.3,106.3,91.5,Improve
AI-110,Grid load forecasting,Technological Sovereignty,Energy,Chelyabinsk Oblast,Verification,Regional government,4.03,10.32,2.56,35.4,47.2,52.2,48.6,Scale
AI-111,Patient routing model,Regional AI Development,Healthcare,Sakhalin Oblast,Verification,Federal ministry,4.48,3.57,0.8,54.4,73.8,81.1,78.0,Stop
AI-112,AI quality control,"Safety, Trust & Regulation",Industry,Krasnoyarsk Krai,Scale,Federal ministry,1.78,6.01,3.38,51.3,82.5,107.1,87.0,Scale
AI-113,Teacher workload copilot,Infrastructure,Education,Moscow,Idea,State corporation,4.17,13.93,3.34,60.1,83.7,121.2,95.8,Improve
AI-114,Repair prioritization,Public Administration Efficiency,Housing & Utilities,Sakhalin Oblast,Pilot,University center,1.5,3.32,2.22,45.8,85.6,124.5,101.8,Scale
AI-115,Citizen request classifier,"Safety, Trust & Regulation",Public Administration,Yakutia,Verification,University center,1.65,4.59,2.78,35.6,84.0,104.3,97.2,Scale
AI-116,AI document check,Technological Sovereignty,Public Administration,Perm Krai,Pilot,Municipal operator,0.76,1.71,2.26,48.9,62.8,70.7,68.3,Scale
AI-117,Smart irrigation,Talent & Competences,Agriculture,Dagestan,Verification,Municipal operator,5.63,5.15,0.92,22.2,12.1,16.2,14.6,Stop
AI-118,Teacher workload copilot,Talent & Competences,Education,Moscow,Pilot,Regional government,3.62,3.5,0.97,44.3,63.5,80.9,79.0,Stop
AI-119,Teacher workload copilot,Data,Education,Samara Oblast,Scale,State corporation,1.02,2.53,2.49,45.3,48.5,66.6,60.7,Scale
AI-120,Predictive maintenance,Technological Sovereignty,Industry,Irkutsk Oblast,Pilot,Municipal operator,6.44,4.02,0.62,22.8,75.2,98.5,83.5,Stop
AI-121,Resource leakage detection,Technological Sovereignty,Housing & Utilities,Tyumen Oblast,Verification,Municipal operator,0.65,0.32,0.48,82.1,27.3,32.6,29.0,Stop
AI-122,Repair prioritization,Social Services & Quality of Life,Housing & Utilities,Moscow,Pilot,Regional government,2.4,1.03,0.43,53.9,16.1,22.7,18.2,Stop
AI-123,Citizen request classifier,Data,Public Administration,Tomsk Oblast,Verification,State corporation,3.58,11.11,3.1,63.8,58.0,69.3,62.5,Improve
AI-124,Outage prediction,"Safety, Trust & Regulation",Energy,Murmansk Oblast,Pilot,Municipal operator,4.4,15.32,3.48,64.6,60.2,83.0,71.6,Improve
AI-125,AI document check,Regional AI Development,Public Administration,Rostov Oblast,Pilot,Regional government,0.53,1.09,2.06,86.8,25.8,35.1,28.6,Stop
AI-126,Dropout risk prediction,"Safety, Trust & Regulation",Education,Moscow Oblast,Pilot,Regional government,3.55,1.84,0.52,48.8,78.1,94.2,88.5,Stop
AI-127,Resource leakage detection,"Safety, Trust & Regulation",Housing & Utilities,Samara Oblast,Pilot,Federal ministry,5.2,16.95,3.26,32.6,45.9,51.4,50.8,Scale
AI-128,Satellite field monitoring,Technological Sovereignty,Agriculture,Rostov Oblast,Pilot,Federal ministry,6.04,11.96,1.98,78.2,56.9,75.7,61.0,Stop
AI-129,Route optimization,Economy & Productivity,Transport & Logistics,Samara Oblast,Verification,Regional government,4.95,3.07,0.62,77.0,80.4,110.0,85.6,Stop
AI-130,Resource leakage detection,Economy & Productivity,Housing & Utilities,Moscow Oblast,Pilot,Municipal operator,2.07,2.22,1.07,42.0,17.9,26.3,22.7,Improve
AI-131,Utility accident forecast,Public Administration Efficiency,Housing & Utilities,Perm Krai,Pilot,Municipal operator,2.09,3.16,1.51,48.5,64.1,82.1,79.2,Scale
AI-132,Medical document automation,Infrastructure,Healthcare,Tatarstan,Idea,Federal ministry,3.31,11.48,3.47,78.9,28.8,42.3,32.0,Stop
AI-133,Route optimization,Regional AI Development,Transport & Logistics,Novosibirsk Oblast,Closed,Federal ministry,5.34,7.78,1.46,80.8,88.1,124.5,115.1,Stop
AI-134,Energy loss detection,Technological Sovereignty,Energy,Yakutia,Pilot,Municipal operator,2.08,0.97,0.47,45.2,25.6,34.9,29.4,Stop
AI-135,Citizen request classifier,Infrastructure,Public Administration,Khabarovsk Krai,Verification,Federal ministry,6.35,14.69,2.32,76.7,21.9,31.5,30.0,Stop
AI-136,Patient routing model,Technological Sovereignty,Healthcare,Dagestan,Pilot,Federal ministry,3.24,7.14,2.2,72.4,25.7,32.8,28.9,Improve
AI-137,Traffic risk prediction,Public Administration Efficiency,Transport & Logistics,Nizhny Novgorod Oblast,Idea,Federal ministry,1.08,1.53,1.41,20.1,12.3,13.7,13.5,Improve
AI-138,Outage prediction,Talent & Competences,Energy,Voronezh Oblast,Idea,State corporation,3.64,12.33,3.39,47.4,38.1,48.6,43.1,Scale
AI-139,AI document check,Talent & Competences,Public Administration,Sakhalin Oblast,Scale,State corporation,0.82,1.9,2.31,31.2,65.8,88.3,71.7,Scale
AI-140,Smart irrigation,Social Services & Quality of Life,Agriculture,Bashkortostan,Pilot,Regional government,0.54,1.5,2.78,49.5,15.2,22.8,16.7,Scale
AI-141,AI document check,Social Services & Quality of Life,Public Administration,Novosibirsk Oblast,Pilot,State corporation,4.56,15.73,3.45,32.9,22.8,25.2,23.7,Scale
AI-142,Citizen request classifier,Social Services & Quality of Life,Public Administration,Voronezh Oblast,Scale,Municipal operator,0.79,1.97,2.48,19.7,55.8,83.7,77.0,Scale
AI-143,Citizen request classifier,"Safety, Trust & Regulation",Public Administration,Irkutsk Oblast,Verification,University center,4.06,4.91,1.21,61.8,57.4,71.3,60.9,Improve
AI-144,Production planning assistant,Data,Industry,Bashkortostan,Pilot,Federal ministry,5.78,9.74,1.68,29.6,43.1,53.3,50.9,Scale
AI-145,Smart irrigation,Economy & Productivity,Agriculture,Tomsk Oblast,Scale,University center,4.81,13.17,2.74,15.8,47.5,60.1,49.5,Scale
AI-146,AI quality control,Public Administration Efficiency,Industry,Dagestan,Verification,Municipal operator,1.8,4.88,2.71,25.3,58.2,66.7,59.5,Scale
AI-147,Proactive service engine,Infrastructure,Public Administration,Sverdlovsk Oblast,Scale,Federal ministry,1.68,5.75,3.42,75.1,96.4,122.3,102.4,Stop
AI-148,Repair prioritization,Infrastructure,Housing & Utilities,Krasnoyarsk Krai,Pilot,Federal ministry,3.63,6.17,1.7,78.3,18.8,23.9,20.2,Stop
AI-149,Traffic risk prediction,Infrastructure,Transport & Logistics,Perm Krai,Verification,Municipal operator,2.21,5.82,2.63,50.7,43.8,53.8,48.8,Scale
AI-150,AI quality control,Social Services & Quality of Life,Industry,Voronezh Oblast,Pilot,Federal ministry,5.13,16.14,3.14,86.7,80.8,96.3,91.2,Stop
AI-151,Energy loss detection,Economy & Productivity,Energy,Irkutsk Oblast,Scale,Municipal operator,2.93,3.05,1.04,78.1,13.5,19.6,16.5,Stop
AI-152,Energy loss detection,Technological Sovereignty,Energy,Saint Petersburg,Pilot,Municipal operator,4.2,9.97,2.38,82.1,67.3,89.3,71.7,Stop
AI-153,Utility accident forecast,Economy & Productivity,Housing & Utilities,Dagestan,Pilot,Regional government,3.44,2.39,0.7,70.3,56.1,76.1,59.7,Stop
AI-154,AI document check,Talent & Competences,Public Administration,Voronezh Oblast,Idea,University center,0.69,1.77,2.56,20.4,16.4,17.3,17.2,Scale
AI-155,Satellite field monitoring,Public Administration Efficiency,Agriculture,Sakhalin Oblast,Verification,University center,4.83,6.6,1.37,37.2,41.5,58.0,52.2,Improve
AI-156,Grid load forecasting,Technological Sovereignty,Energy,Tatarstan,Verification,Federal ministry,1.33,1.03,0.77,22.4,69.4,96.8,79.0,Stop
AI-157,Traffic risk prediction,Regional AI Development,Transport & Logistics,Primorsky Krai,Scale,Municipal operator,0.28,0.13,0.47,87.6,36.6,51.1,45.6,Stop
AI-158,Repair prioritization,Technological Sovereignty,Housing & Utilities,Primorsky Krai,Verification,Municipal operator,2.58,2.26,0.88,24.1,65.4,91.4,81.8,Stop
AI-159,Smart irrigation,"Safety, Trust & Regulation",Agriculture,Yakutia,Scale,Federal ministry,3.52,1.19,0.34,87.6,81.9,96.8,95.1,Stop
AI-160,Citizen request classifier,Infrastructure,Public Administration,Dagestan,Closed,University center,3.97,8.43,2.12,71.1,83.1,111.7,90.1,Stop
